id,latitude,longitude,plant_id,created_at,updated_at
190,48.1602709,2.2260768,217,2019-03-05 14:34:37 UTC,2019-03-05 14:34:37 UTC
191,48.1602899,2.2261023,218,2019-03-05 14:35:26 UTC,2019-03-05 14:35:26 UTC
192,48.1602538,2.2260835,219,2019-03-05 14:35:56 UTC,2019-03-05 14:35:56 UTC
104,48.1602776,2.2261936,229,2019-03-05 09:05:18 UTC,2019-03-05 09:05:18 UTC
194,48.160287,2.2260871,237,2019-03-05 14:37:27 UTC,2019-03-05 14:37:27 UTC
193,48.1602538,2.2260835,239,2019-03-05 14:36:35 UTC,2019-03-05 14:36:35 UTC
138,48.160287,2.2260871,245,2019-03-05 09:45:02 UTC,2019-03-05 09:45:02 UTC
137,48.160287,2.2260871,246,2019-03-05 09:43:52 UTC,2019-03-05 09:43:52 UTC
136,48.1602467,2.2260824,247,2019-03-05 09:43:02 UTC,2019-03-05 09:43:02 UTC
135,48.160287,2.2260871,248,2019-03-05 09:42:30 UTC,2019-03-05 09:42:30 UTC
113,48.1602476,2.2260593,251,2019-03-05 09:12:49 UTC,2019-03-05 09:12:49 UTC
112,48.1603047,2.2261577,252,2019-03-05 09:11:43 UTC,2019-03-05 09:11:43 UTC
111,48.160278,2.2261111,253,2019-03-05 09:11:15 UTC,2019-03-05 09:11:15 UTC
110,48.160287,2.2260871,254,2019-03-05 09:10:21 UTC,2019-03-05 09:10:21 UTC
107,48.1602677,2.2260839,263,2019-03-05 09:07:29 UTC,2019-03-05 09:07:29 UTC
106,48.160287,2.2260871,264,2019-03-05 09:06:32 UTC,2019-03-05 09:06:32 UTC
105,48.160287,2.2260871,266,2019-03-05 09:05:52 UTC,2019-03-05 09:05:52 UTC
253,48.160287,2.2260871,270,2019-03-06 09:39:35 UTC,2019-03-06 09:39:35 UTC
252,48.160287,2.2260871,273,2019-03-06 09:38:44 UTC,2019-03-06 09:38:44 UTC
251,48.160287,2.2260871,274,2019-03-06 09:38:05 UTC,2019-03-06 09:38:05 UTC
195,48.160287,2.2260871,279,2019-03-05 14:39:32 UTC,2019-03-05 14:39:32 UTC
254,48.160243,2.2260665,281,2019-03-06 09:40:10 UTC,2019-03-06 09:40:10 UTC
140,48.1603512,2.2261615,283,2019-03-05 09:48:37 UTC,2019-03-05 09:48:37 UTC
141,48.1602452,2.2260602,285,2019-03-05 09:49:39 UTC,2019-03-05 09:49:39 UTC
142,48.1602856,2.2260862,287,2019-03-05 09:50:25 UTC,2019-03-05 09:50:25 UTC
143,48.1602934,2.226122,289,2019-03-05 09:51:23 UTC,2019-03-05 09:51:23 UTC
145,48.1602928,2.2261229,295,2019-03-05 09:54:10 UTC,2019-03-05 09:54:10 UTC
